          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
  251.550     3     3     3.0     45  12351 |   15  3871    0.2135    0.0142    0.0047 |
  252.525     3     3     3.0     45  12396 |   15  3886    0.2128    0.0142    0.0047 |
  253.500     3     3     3.0     45  12441 |   15  3901    0.2134    0.0142    0.0047 |
  254.475     3     3     3.0     45  12486 |   15  3916    0.2137    0.0142    0.0047 |
  255.450     3     3     3.0     45  12531 |   15  3931    0.2139    0.0143    0.0048 |
  256.425     3     3     3.0     45  12576 |   15  3946    0.2129    0.0142    0.0047 |
  257.400     3     3     3.0     45  12621 |   15  3961    0.2136    0.0142    0.0047 |
  258.375     3     3     3.0     45  12666 |   15  3976    0.2153    0.0144    0.0048 |
  259.350     3     3     3.0     45  12711 |   15  3991    0.2133    0.0142    0.0047 |
  260.325     3     3     3.0     45  12756 |   15  4006    0.2128    0.0142    0.0047 |
  261.300     3     3     3.0     45  12801 |   15  4021    0.2153    0.0144    0.0048 |
  262.275     3     3     3.0     45  12846 |   15  4036    0.2155    0.0144    0.0048 |
  263.250     3     3     3.0     45  12891 |   15  4051    0.2147    0.0143    0.0048 |
  264.225     3     3     3.0     45  12936 |   15  4066    0.2153    0.0144    0.0048 |
  265.200     3     3     3.0     45  12981 |   15  4081    0.2141    0.0143    0.0048 |
  266.175     3     3     3.0     45  13026 |   15  4096    0.2130    0.0142    0.0047 |
  267.150     3     3     3.0     45  13071 |   15  4111    0.2165    0.0144    0.0048 |
  268.125     3     3     3.0     45  13116 |   15  4126    0.2133    0.0142    0.0047 |
  269.100     3     3     3.0     45  13161 |   15  4141    0.2135    0.0142    0.0047 |
  270.075     3     3     3.0     45  13206 |   15  4156    0.2129    0.0142    0.0047 |
  271.050     3     3     3.0     45  13251 |   15  4171    0.2138    0.0143    0.0048 |
  272.025     3     3     3.0     45  13296 |   15  4186    0.2130    0.0142    0.0047 |
  273.000     3     3     3.0     45  13341 |   15  4201    0.2136    0.0142    0.0047 |
  273.975     3     3     3.0     45  13386 |   15  4216    0.2126    0.0142    0.0047 |
