          ----- ----- | --------- --------- |
            cls ttcls |      time  tot time |
  531.375    15  8176 |    0.0214   13.6304 |
  532.350    15  8191 |    0.0213   13.6517 |
  533.325    15  8206 |    0.0214   13.6731 |
  534.300    15  8221 |    0.0214   13.6946 |
  535.275    15  8236 |    0.0214   13.7159 |
  536.250    15  8251 |    0.0213   13.7372 |
  537.225    15  8266 |    0.0214   13.7586 |
  538.200    15  8281 |    0.0214   13.7800 |
  539.175    15  8296 |    0.0213   13.8013 |
  540.150    15  8311 |    0.0216   13.8229 |
  541.125    15  8326 |    0.0214   13.8443 |
  542.100    15  8341 |    0.0213   13.8657 |
  543.075    15  8356 |    0.0213   13.8870 |
  544.050    15  8371 |    0.0214   13.9084 |
  545.025    15  8386 |    0.0214   13.9298 |
  546.000    15  8401 |    0.0213   13.9511 |
  546.975    15  8416 |    0.0213   13.9724 |
  547.950    15  8431 |    0.0214   13.9938 |
  548.925    15  8446 |    0.0214   14.0152 |
  549.900    15  8461 |    0.0214   14.0366 |
  550.875    15  8476 |    0.0214   14.0580 |
  551.850    15  8491 |    0.0213   14.0793 |
  552.825    15  8506 |    0.0214   14.1006 |
  553.800    15  8521 |    0.0213   14.1219 |
  554.775    15  8536 |    0.0215   14.1434 |
  555.750    15  8551 |    0.0214   14.1648 |
  556.725    15  8566 |    0.0213   14.1861 |
  557.700    15  8581 |    0.0214   14.2075 |
  558.675    15  8596 |    0.0213   14.2289 |
  559.650    15  8611 |    0.0213   14.2502 |
  560.625    15  8626 |    0.0213   14.2715 |
  561.600    15  8641 |    0.0214   14.2929 |
  562.575    15  8656 |    0.0213   14.3143 |
